supplier_id,company_name,website,source_url,source_type,category,subcategory,target_components,likely_hts_families,country_focus,manufacturing_footprint,tariff_advantage_hypothesis,verification_status,evidence_needed,buyer_fit,premium_fit,outreach_priority,lead_score,notes,last_reviewed,crm_status,contact_owner,next_action
TFC-0001,Carr Manufacturing Company,https://www.carrmfg.com,https://www.thomasnet.com/company/carr-manufacturing-company-30120912/profile,Thomasnet profile,Electronics,Cable assemblies and wire harnesses,custom cable assemblies; wire harnesses; PCB cable assemblies,8544; 8536,United States; Mexico,US and Mexico facilities referenced in public supplier profile,US/Mexico nearshore candidate; possible USMCA positioning if origin rules are met,Documented candidate,certificate of origin; manufacturing site per SKU; HTS confirmation; UL/ISO documents,OEMs seeking harness alternatives to Asia sourcing,Verified profile; RFQ priority; USMCA candidate badge,1,94,Strong founding-supplier target because public profile already references US/Mexico facilities.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0002,Lexco Cable Manufacturing,https://www.lexcocable.com,https://www.thomasnet.com/suppliers/usa/cable-assemblies-9631805,Thomasnet category,Industrial,Cable assemblies,cable assemblies; wire rope assemblies; custom cable products,8544; 7312,United States,US supplier candidate,Domestic manufacturing candidate; verify product-level origin,Unverified candidate,COO; production location; HTS; product catalog,industrial buyers needing custom cable assemblies,Category sponsorship; documented origin badge,1,86,Good fit for cable assembly launch category.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0003,Philatron Wire & Cable,https://www.philatron.com,https://www.thomasnet.com/suppliers/usa/cable-assemblies-9631805,Thomasnet category,Electronics,Wire and cable,wire; cable; molded cable assemblies; EV cable products,8544,United States,US supplier candidate,Made-in-USA candidate for wire/cable families; verify per product,Unverified candidate,COO; production site; HTS; UL documents,"EV, industrial, and electrical buyers",Premium category placement; RFQ routing,1,87,Relevant to cable and EV component searches.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0004,Connective Design Inc.,https://www.connectivedesign.com,https://www.thomasnet.com/suppliers/usa/cable-assemblies-9631805,Thomasnet category,Electronics,Cable assemblies,custom cable assemblies; electromechanical assemblies,8544; 8536,United States,US supplier candidate,Domestic/low-duty candidate; needs SKU-level verification,Unverified candidate,COO; HTS; facility location; certifications,electronics OEMs and industrial buyers,Verified listing; RFQ bundle participation,2,78,Useful mid-market cable assembly target.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0005,Phoenix West,https://www.phoenixwest.com,https://www.thomasnet.com/suppliers/new-mexico/all-cities/cable-assemblies-9631805,Thomasnet regional category,Electronics,Wire harnesses,harness assemblies; coaxial cable assemblies; contract manufacturing,8544; 8536,United States,New Mexico supplier candidate,Domestic manufacturing candidate for harness work,Unverified candidate,COO; HTS; facility capability; certifications,buyers seeking smaller US harness suppliers,Founding supplier listing; verified profile,2,77,Regional US harness supplier candidate.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0006,Mencom Corporation,https://www.mencom.com,https://www.thomasnet.com/suppliers/usa/tee-connectors-97004868,Thomasnet category,Electronics,Industrial connectors,M8 connectors; M12 connectors; cordsets; panel interfaces,8536; 8544,United States,US supplier candidate,Domestic/industrial connector candidate; verify origin by product line,Unverified candidate,COO; product origin; HTS; RoHS/UL documents,factory automation buyers seeking M12/M8 alternatives,Sponsored connector category; documented origin badge,1,90,Very strong launch-category fit for M8/M12 connector searches.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0007,Turck USA,https://www.turck.us,https://www.thomasnet.com/suppliers/metro-new-york/all-cities/connectors-17470600,Thomasnet category,Electronics,Industrial automation connectors,M8 connectors; M12 connectors; sensor cables; cordsets,8536; 8544,United States; Global,US operations with global manufacturing,Nearshore/domestic candidate only where origin is documented,Unverified candidate,COO; manufacturing country per SKU; HTS; distributor authorization,automation OEMs and maintenance buyers,Premium supplier profile; search sponsorship,1,86,High buyer recognition; needs careful SKU-level origin handling.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0008,LEMO USA,https://www.lemo.com/en-us,https://www.thomasnet.com/suppliers/usa/ethernet-cable-assemblies-96148085,Thomasnet category,Electronics,Precision connectors,circular connectors; push-pull connectors; cable assemblies,8536; 8544,United States; Switzerland; Global,US commercial presence with global manufacturing,Alternative-source candidate; not assumed tariff-free,Unverified candidate,country of origin by series; HTS; authorized distributor data,"medical, defense, industrial, and instrumentation buyers",Premium brand listing; high-spec RFQs,2,82,"Good for high-value connector searches, but origin must be confirmed.",2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0009,Samtec,https://www.samtec.com,https://www.thomasnet.com/suppliers/usa/connectors-printed-circuit-17601006,Thomasnet category,Electronics,PCB connectors,board-to-board connectors; high-speed connectors; cable assemblies,8536; 8544,United States; Global,US-headquartered with global manufacturing,Alternative-source candidate; requires origin data by product family,Unverified candidate,COO; HTS; product family origin; compliance documents,electronics OEMs seeking connector alternatives,Sponsored PCB connector category,2,83,Large known supplier; useful for demand capture even before verification.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0010,Phoenix Contact USA,https://www.phoenixcontact.com/en-us,https://www.thomasnet.com/suppliers/usa/connectors-printed-circuit-17601006,Thomasnet category,Electronics,Terminal blocks and connectors,terminal blocks; PCB connectors; DIN rail products; industrial I/O,8536; 8538,United States; Germany; Global,US operations with global manufacturing,Potential US/nearshore product families; verify origin per SKU,Unverified candidate,COO; HTS; product family origin; distributor data,"controls, HVAC, and industrial automation buyers",Premium controls category placement,2,83,Strong category breadth; compliance data needed before badges.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
